Sexo,RendaFamiliar,CorRaca,Idade,Semest,CategoriadeSituacao,Turno,CargaHorariaMinimaRegulamentada,FatordeEsforcodeCurso,Regiao
"M","NA","Parda",22,5,"Evadidos","Integral",3200,1.15,"Região Sudeste"
"F","1,5<RFP<=2,5","Parda",25,5,"Evadidos","Integral",2400,1.1,"Região Sudeste"
"M","0,5<RFP<=1","Parda",28,3,"Evadidos","Integral",3600,1.19,"Região Norte"
"M","NA","Parda",23,7,"Evadidos","Integral",3000,1.1,"Região Nordeste"
"M","0<RFP<=0,5","Parda",22,5,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0<RFP<=0,5","Parda",23,5,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0<RFP<=0,5","Parda",21,2,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","1,5<RFP<=2,5","Parda",22,6,"Evadidos","Integral",3600,1.15,"Região Nordeste"
"M","0<RFP<=0,5","Parda",21,2,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"F","0,5<RFP<=1","Parda",23,6,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","1<RFP<=1,5","Parda",25,3,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"M","0,5<RFP<=1","Parda",23,7,"Evadidos","Integral",3600,1.15,"Região Centro-Oeste"
"M","0,5<RFP<=1","Parda",29,6,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","NA","Parda",28,7,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","NA","Parda",22,7,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","NA","Parda",26,7,"Evadidos","Integral",4000,1.21,"Região Sul"
"M","0<RFP<=0,5","Parda",20,0,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","NA","Parda",18,1,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","0<RFP<=0,5","Parda",22,6,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","1<RFP<=1,5","Parda",25,6,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","0<RFP<=0,5","Parda",21,6,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","0,5<RFP<=1","Parda",34,6,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0<RFP<=0,5","Parda",19,0,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","NA","Parda",22,6,"Evadidos","Integral",3600,1.2,"Região Sudeste"
"F","1<RFP<=1,5","Parda",22,7,"Evadidos","Integral",3600,1.19,"Região Sul"
"F","0<RFP<=0,5","Parda",26,6,"Evadidos","Integral",3600,1.15,"Região Sul"
"M","1<RFP<=1,5","Parda",18,1,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0<RFP<=0,5","Parda",19,1,"Evadidos","Integral",3600,1.14,"Região Nordeste"
"M","NA","Parda",24,0,"Evadidos","Integral",3600,1.1,"Região Norte"
"M","1<RFP<=1,5","Parda",21,6,"Evadidos","Integral",3600,1.15,"Região Centro-Oeste"
"M","RFP>3,5","Parda",26,8,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","1<RFP<=1,5","Parda",21,8,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","1<RFP<=1,5","Parda",21,8,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","0,5<RFP<=1","Parda",21,8,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","0,5<RFP<=1","Parda",26,8,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"M","NA","Parda",19,3,"Evadidos","Integral",3600,1.15,"Região Nordeste"
"F","1,5<RFP<=2,5","Parda",20,3,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","NA","Parda",19,1,"Evadidos","Integral",3600,1.15,"Região Nordeste"
"M","1<RFP<=1,5","Parda",21,4,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","NA","Parda",23,5,"Evadidos","Integral",3200,1.1,"Região Sudeste"
"F","0<RFP<=0,5","Parda",24,4,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","0<RFP<=0,5","Parda",26,4,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","NA","Parda",22,4,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","NA","Parda",22,5,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","0<RFP<=0,5","Parda",19,5,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","NA","Parda",30,5,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","2,5<RFP<=3,5","Parda",39,5,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"F","0,5<RFP<=1","Parda",21,5,"Evadidos","Integral",3200,1.06,"Região Sudeste"
"M","NA","Parda",21,4,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","1,5<RFP<=2,5","Parda",20,4,"Evadidos","Integral",2400,1.13,"Região Sudeste"
"M","NA","Parda",24,5,"Evadidos","Integral",3600,1.06,"Região Sudeste"
"M","1,5<RFP<=2,5","Parda",24,4,"Evadidos","Integral",3600,1.1,"Região Centro-Oeste"
"M","0,5<RFP<=1","Parda",21,3,"Evadidos","Integral",3600,1.06,"Região Sudeste"
"M","1,5<RFP<=2,5","Parda",20,2,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"M","1,5<RFP<=2,5","Parda",23,3,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"M","0,5<RFP<=1","Parda",24,5,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","2,5<RFP<=3,5","Parda",23,5,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","NA","Parda",24,1,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","1<RFP<=1,5","Parda",21,0,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","NA","Parda",27,5,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","NA","Parda",22,5,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","NA","Parda",21,6,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"F","NA","Parda",29,6,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"M","1<RFP<=1,5","Parda",24,6,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"M","NA","Parda",25,6,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"M","NA","Parda",21,5,"Evadidos","Integral",3600,1.16,"Região Nordeste"
"M","RFP>3,5","Parda",24,5,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","1<RFP<=1,5","Parda",22,7,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"M","0,5<RFP<=1","Parda",22,6,"Evadidos","Integral",3600,1.15,"Região Sul"
"M","1<RFP<=1,5","Parda",22,7,"Evadidos","Integral",3600,1.15,"Região Centro-Oeste"
"F","1<RFP<=1,5","Parda",30,7,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","2,5<RFP<=3,5","Parda",23,10,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","0,5<RFP<=1","Parda",23,10,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","NA","Parda",26,9,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","1,5<RFP<=2,5","Parda",30,10,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","NA","Parda",20,4,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","1<RFP<=1,5","Parda",21,3,"Evadidos","Integral",3600,1.15,"Região Nordeste"
"M","NA","Parda",21,3,"Evadidos","Integral",3000,1.1,"Região Nordeste"
"M","NA","Parda",20,5,"Evadidos","Integral",3000,1.1,"Região Nordeste"
"M","NA","Parda",22,4,"Evadidos","Integral",3600,1.15,"Região Norte"
"F","1,5<RFP<=2,5","Parda",22,4,"Evadidos","Integral",3600,1.14,"Região Sudeste"
"M","NA","Parda",29,4,"Evadidos","Integral",3600,1.15,"Região Centro-Oeste"
"M","0<RFP<=0,5","Parda",24,5,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"M","RFP>3,5","Parda",21,5,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","0,5<RFP<=1","Parda",21,5,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","1<RFP<=1,5","Parda",24,4,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","RFP>3,5","Parda",20,1,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"F","2,5<RFP<=3,5","Parda",19,3,"Evadidos","Integral",3600,1.1,"Região Centro-Oeste"
"M","1,5<RFP<=2,5","Parda",20,4,"Evadidos","Integral",3600,1.14,"Região Norte"
"M","1<RFP<=1,5","Parda",18,1,"Evadidos","Integral",3600,1.15,"Região Norte"
"F","0,5<RFP<=1","Parda",22,5,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","1<RFP<=1,5","Parda",20,5,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"M","2,5<RFP<=3,5","Parda",21,4,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","NA","Parda",29,5,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0,5<RFP<=1","Parda",20,2,"Evadidos","Integral",3600,1.19,"Região Norte"
"F","0,5<RFP<=1","Parda",23,4,"Evadidos","Integral",4000,1.21,"Região Centro-Oeste"
"M","1<RFP<=1,5","Parda",35,4,"Evadidos","Integral",3600,1.19,"Região Sul"
"M","1,5<RFP<=2,5","Parda",21,5,"Evadidos","Integral",3600,1.15,"Região Nordeste"
"M","1,5<RFP<=2,5","Parda",21,5,"Evadidos","Integral",3600,1.16,"Região Norte"
"F","2,5<RFP<=3,5","Parda",33,5,"Evadidos","Integral",3600,1.16,"Região Norte"
"M","0<RFP<=0,5","Parda",20,4,"Evadidos","Integral",3600,1.14,"Região Norte"
"M","0<RFP<=0,5","Parda",21,4,"Evadidos","Integral",3600,1.14,"Região Norte"
"M","NA","Parda",21,4,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","NA","Parda",20,5,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","1,5<RFP<=2,5","Parda",20,4,"Evadidos","Integral",2400,1.13,"Região Sudeste"
"M","0,5<RFP<=1","Parda",21,4,"Evadidos","Integral",2400,1.13,"Região Sudeste"
"M","NA","Parda",21,6,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","1<RFP<=1,5","Parda",23,10,"Evadidos","Integral",3600,1.15,"Região Norte"
"F","RFP>3,5","Parda",34,10,"Evadidos","Integral",3200,1.2,"Região Sudeste"
"M","0<RFP<=0,5","Parda",24,7,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","NA","Parda",26,10,"Evadidos","Integral",3600,1.15,"Região Norte"
"M","0<RFP<=0,5","Parda",23,10,"Evadidos","Integral",3600,1.19,"Região Sudeste"
"M","1,5<RFP<=2,5","Parda",24,2,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","NA","Parda",22,3,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","1,5<RFP<=2,5","Parda",22,7,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","1,5<RFP<=2,5","Parda",21,5,"Evadidos","Integral",3600,1.15,"Região Norte"
"M","1,5<RFP<=2,5","Parda",31,1,"Evadidos","Integral",3600,1.06,"Região Sudeste"
"M","0<RFP<=0,5","Parda",29,2,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","0,5<RFP<=1","Parda",20,0,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0,5<RFP<=1","Parda",19,0,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","NA","Parda",20,1,"Evadidos","Integral",3600,1.15,"Região Nordeste"
"M","NA","Parda",19,1,"Evadidos","Integral",3600,1.15,"Região Nordeste"
"M","NA","Parda",36,1,"Evadidos","Integral",3000,1.1,"Região Nordeste"
"M","0,5<RFP<=1","Parda",24,2,"Evadidos","Integral",3600,1.16,"Região Nordeste"
"F","1<RFP<=1,5","Parda",29,2,"Evadidos","Integral",3000,1.21,"Região Nordeste"
"M","1<RFP<=1,5","Parda",24,7,"Evadidos","Integral",3600,1.15,"Região Centro-Oeste"
"M","1<RFP<=1,5","Parda",22,7,"Evadidos","Integral",3600,1.15,"Região Centro-Oeste"
"M","1,5<RFP<=2,5","Parda",19,1,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0,5<RFP<=1","Parda",35,1,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","1,5<RFP<=2,5","Parda",20,2,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","2,5<RFP<=3,5","Parda",20,1,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","0<RFP<=0,5","Parda",25,1,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"F","NA","Parda",25,10,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","2,5<RFP<=3,5","Parda",34,10,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","0,5<RFP<=1","Parda",42,10,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","NA","Parda",22,7,"Evadidos","Integral",3000,1.1,"Região Nordeste"
"F","0,5<RFP<=1","Parda",26,10,"Evadidos","Integral",3600,1.19,"Região Sudeste"
"M","RFP>3,5","Parda",28,10,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","NA","Parda",19,2,"Evadidos","Integral",2400,1.13,"Região Sudeste"
"F","NA","Parda",19,1,"Evadidos","Integral",2400,1,"Região Sudeste"
"M","0,5<RFP<=1","Parda",27,10,"Evadidos","Integral",3600,1.15,"Região Norte"
"M","0<RFP<=0,5","Parda",29,3,"Evadidos","Integral",2400,1.13,"Região Sudeste"
"M","0,5<RFP<=1","Parda",31,3,"Evadidos","Integral",2400,1.13,"Região Sudeste"
"M","2,5<RFP<=3,5","Parda",26,2,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","1,5<RFP<=2,5","Parda",19,1,"Evadidos","Integral",3600,1.16,"Região Norte"
"M","1,5<RFP<=2,5","Parda",20,1,"Evadidos","Integral",3600,1.16,"Região Norte"
"F","1<RFP<=1,5","Parda",20,2,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"F","1<RFP<=1,5","Parda",22,1,"Evadidos","Integral",3200,1.06,"Região Norte"
"F","0<RFP<=0,5","Parda",19,1,"Evadidos","Integral",3600,1.15,"Região Norte"
"F","NA","Parda",19,1,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","1<RFP<=1,5","Parda",37,4,"Evadidos","Integral",2400,1.13,"Região Sudeste"
"M","NA","Parda",22,1,"Evadidos","Integral",3600,1.16,"Região Norte"
"M","0,5<RFP<=1","Parda",29,2,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"M","0,5<RFP<=1","Parda",21,8,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","2,5<RFP<=3,5","Parda",29,9,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","0,5<RFP<=1","Parda",23,2,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"F","0,5<RFP<=1","Parda",27,2,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"F","0<RFP<=0,5","Parda",23,1,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","1<RFP<=1,5","Parda",25,1,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","NA","Parda",20,1,"Evadidos","Integral",3600,1.16,"Região Nordeste"
"F","NA","Parda",19,2,"Evadidos","Integral",3600,1.16,"Região Nordeste"
"F","2,5<RFP<=3,5","Parda",22,4,"Evadidos","Integral",2400,1.13,"Região Sudeste"
"M","1<RFP<=1,5","Parda",20,2,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0,5<RFP<=1","Parda",23,7,"Evadidos","Integral",3600,1.16,"Região Sul"
"F","RFP>3,5","Parda",23,2,"Evadidos","Integral",3200,1.15,"Região Sudeste"
"M","NA","Parda",28,2,"Evadidos","Integral",3000,1.1,"Região Nordeste"
"F","RFP>3,5","Parda",22,7,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"F","NA","Parda",35,8,"Evadidos","Integral",4000,1.21,"Região Sul"
"M","RFP>3,5","Parda",25,9,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","1<RFP<=1,5","Parda",24,10,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"M","1<RFP<=1,5","Parda",23,10,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"M","2,5<RFP<=3,5","Parda",31,10,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"F","NA","Parda",22,7,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","RFP>3,5","Parda",27,10,"Evadidos","Integral",3600,1.19,"Região Sudeste"
"M","1,5<RFP<=2,5","Parda",22,9,"Evadidos","Integral",3600,1.15,"Região Centro-Oeste"
"F","0,5<RFP<=1","Parda",25,9,"Evadidos","Integral",3600,1.15,"Região Centro-Oeste"
"M","NA","Parda",28,10,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","1,5<RFP<=2,5","Parda",27,10,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"M","1,5<RFP<=2,5","Parda",28,10,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"M","2,5<RFP<=3,5","Parda",39,10,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"F","0,5<RFP<=1","Parda",28,10,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"F","0<RFP<=0,5","Parda",25,10,"Evadidos","Integral",3600,1.19,"Região Sudeste"
"M","RFP>3,5","Parda",19,1,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","1,5<RFP<=2,5","Parda",23,0,"Evadidos","Integral",3600,1.15,"Região Centro-Oeste"
"M","NA","Parda",31,0,"Evadidos","Integral",3600,1.16,"Região Nordeste"
"M","0<RFP<=0,5","Parda",19,1,"Evadidos","Integral",3600,1.1,"Região Nordeste"
"F","0<RFP<=0,5","Parda",19,1,"Evadidos","Integral",3600,1.1,"Região Nordeste"
"M","1<RFP<=1,5","Parda",19,0,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","0<RFP<=0,5","Parda",25,10,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","1,5<RFP<=2,5","Parda",27,10,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"M","0,5<RFP<=1","Parda",24,3,"Evadidos","Integral",3600,1.14,"Região Nordeste"
"M","0<RFP<=0,5","Parda",22,0,"Evadidos","Integral",3600,1.15,"Região Nordeste"
"F","1,5<RFP<=2,5","Parda",19,0,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0,5<RFP<=1","Parda",19,1,"Evadidos","Integral",3600,1.14,"Região Nordeste"
"M","1<RFP<=1,5","Parda",20,4,"Evadidos","Integral",3600,1.19,"Região Sul"
"M","0,5<RFP<=1","Parda",20,3,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","1<RFP<=1,5","Parda",22,1,"Evadidos","Integral",3600,1.15,"Região Centro-Oeste"
"M","1<RFP<=1,5","Parda",20,1,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","NA","Parda",18,1,"Evadidos","Integral",3600,1.15,"Região Norte"
"M","NA","Parda",21,4,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"F","NA","Parda",36,10,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","0,5<RFP<=1","Parda",23,5,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","1,5<RFP<=2,5","Parda",22,1,"Evadidos","Integral",3600,1.06,"Região Sul"
"M","NA","Parda",24,4,"Evadidos","Integral",3600,1.15,"Região Nordeste"
"F","2,5<RFP<=3,5","Parda",21,6,"Evadidos","Integral",2400,1.13,"Região Sudeste"
"F","RFP>3,5","Parda",20,6,"Evadidos","Integral",2400,1.13,"Região Sudeste"
"M","NA","Parda",25,10,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","RFP>3,5","Parda",28,10,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","RFP>3,5","Parda",26,10,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","NA","Parda",28,10,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","1,5<RFP<=2,5","Parda",24,10,"Evadidos","Integral",3600,1.19,"Região Sudeste"
"F","0<RFP<=0,5","Parda",36,10,"Evadidos","Integral",3600,1.15,"Região Norte"
"F","NA","Parda",22,0,"Evadidos","Integral",3600,1.15,"Região Centro-Oeste"
"M","RFP>3,5","Parda",27,10,"Evadidos","Integral",2400,1.13,"Região Sudeste"
"F","RFP>3,5","Parda",24,10,"Evadidos","Integral",3600,1.19,"Região Sudeste"
"M","0<RFP<=0,5","Parda",27,10,"Evadidos","Integral",3600,1.19,"Região Sudeste"
"M","NA","Parda",50,10,"Evadidos","Integral",3600,1.06,"Região Sudeste"
"F","RFP>3,5","Parda",27,2,"Evadidos","Integral",3200,1.2,"Região Sudeste"
"F","1<RFP<=1,5","Parda",26,10,"Evadidos","Integral",3600,1.16,"Região Sul"
"M","NA","Parda",33,10,"Evadidos","Integral",3600,1.06,"Região Sudeste"
"M","1,5<RFP<=2,5","Parda",25,10,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"F","NA","Parda",18,1,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"M","NA","Parda",19,0,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0<RFP<=0,5","Parda",23,1,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0,5<RFP<=1","Parda",28,10,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","NA","Parda",20,1,"Evadidos","Integral",3000,1.1,"Região Nordeste"
"M","0<RFP<=0,5","Parda",23,10,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","0,5<RFP<=1","Parda",24,10,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"F","0<RFP<=0,5","Parda",24,10,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","NA","Parda",22,0,"Evadidos","Integral",3600,1.16,"Região Nordeste"
"M","0<RFP<=0,5","Parda",20,3,"Evadidos","Integral",3200,1.06,"Região Sudeste"
"F","0,5<RFP<=1","Parda",22,2,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","1,5<RFP<=2,5","Parda",20,3,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","2,5<RFP<=3,5","Parda",19,2,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","0,5<RFP<=1","Parda",27,10,"Evadidos","Integral",3600,1.16,"Região Sul"
"M","RFP>3,5","Parda",44,10,"Evadidos","Integral",3600,1.14,"Região Norte"
"M","NA","Parda",20,3,"Evadidos","Integral",3600,1.1,"Região Centro-Oeste"
"M","0,5<RFP<=1","Parda",31,3,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"F","NA","Parda",21,2,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","NA","Parda",22,2,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","1,5<RFP<=2,5","Parda",23,10,"Evadidos","Integral",2400,1.13,"Região Sudeste"
"F","NA","Parda",19,2,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"F","NA","Parda",36,2,"Evadidos","Integral",3200,1.15,"Região Sudeste"
"F","0,5<RFP<=1","Parda",38,3,"Evadidos","Integral",3600,1.16,"Região Nordeste"
"F","0,5<RFP<=1","Parda",19,3,"Evadidos","Integral",3600,1.16,"Região Nordeste"
"M","0,5<RFP<=1","Parda",19,3,"Evadidos","Integral",3600,1.16,"Região Nordeste"
"M","0,5<RFP<=1","Parda",19,3,"Evadidos","Integral",3000,1.21,"Região Nordeste"
"M","1,5<RFP<=2,5","Parda",19,3,"Evadidos","Integral",3000,1.21,"Região Nordeste"
"M","0,5<RFP<=1","Parda",32,3,"Evadidos","Integral",3000,1.21,"Região Nordeste"
"M","1,5<RFP<=2,5","Parda",34,3,"Evadidos","Integral",3000,1.21,"Região Nordeste"
"M","0,5<RFP<=1","Parda",19,3,"Evadidos","Integral",3600,1.16,"Região Nordeste"
"F","0,5<RFP<=1","Parda",19,3,"Evadidos","Integral",3600,1.16,"Região Nordeste"
"M","NA","Parda",19,2,"Evadidos","Integral",3600,1.2,"Região Sudeste"
"M","0,5<RFP<=1","Parda",28,2,"Evadidos","Integral",3600,1.15,"Região Norte"
"F","0,5<RFP<=1","Parda",24,2,"Evadidos","Integral",3600,1.15,"Região Norte"
"M","0<RFP<=0,5","Parda",22,3,"Evadidos","Integral",3600,1.15,"Região Nordeste"
"M","NA","Parda",20,3,"Evadidos","Integral",3000,1.1,"Região Nordeste"
"F","NA","Parda",19,2,"Evadidos","Integral",3000,1.1,"Região Nordeste"
"M","NA","Parda",27,2,"Evadidos","Integral",3000,1.1,"Região Nordeste"
"F","NA","Parda",19,2,"Evadidos","Integral",3600,1.15,"Região Nordeste"
"F","0<RFP<=0,5","Parda",21,2,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"F","1<RFP<=1,5","Parda",21,3,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","0,5<RFP<=1","Parda",22,2,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","RFP>3,5","Parda",28,3,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0<RFP<=0,5","Parda",33,1,"Evadidos","Integral",3600,1.15,"Região Nordeste"
"M","NA","Parda",20,2,"Evadidos","Integral",3600,1.15,"Região Nordeste"
"F","1<RFP<=1,5","Parda",23,3,"Evadidos","Integral",3600,1.19,"Região Nordeste"
"M","0<RFP<=0,5","Parda",21,3,"Evadidos","Integral",3600,1.15,"Região Nordeste"
"F","NA","Parda",23,3,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"F","1,5<RFP<=2,5","Parda",19,2,"Evadidos","Integral",3200,1,"Região Sudeste"
"M","0,5<RFP<=1","Parda",22,2,"Evadidos","Integral",3200,1.2,"Região Sudeste"
"M","NA","Parda",28,2,"Evadidos","Integral",3600,1.15,"Região Centro-Oeste"
"F","0<RFP<=0,5","Parda",22,3,"Evadidos","Integral",2400,1.13,"Região Sudeste"
"M","0,5<RFP<=1","Parda",28,2,"Evadidos","Integral",3600,1.19,"Região Sudeste"
"M","0,5<RFP<=1","Parda",30,10,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","1,5<RFP<=2,5","Parda",19,3,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","1,5<RFP<=2,5","Parda",19,2,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","1,5<RFP<=2,5","Parda",20,2,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0,5<RFP<=1","Parda",37,2,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","NA","Parda",20,2,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","0,5<RFP<=1","Parda",20,3,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","NA","Parda",40,2,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","NA","Parda",21,2,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","RFP>3,5","Parda",21,3,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","1,5<RFP<=2,5","Parda",21,3,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0,5<RFP<=1","Parda",22,7,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","NA","Parda",26,4,"Evadidos","Integral",3200,1.15,"Região Sudeste"
"M","0<RFP<=0,5","Parda",23,7,"Evadidos","Integral",3000,1.1,"Região Sudeste"
"M","0<RFP<=0,5","Parda",22,4,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","1,5<RFP<=2,5","Parda",20,2,"Evadidos","Integral",3600,1.14,"Região Sudeste"
