CategoriadeSituacao,Sexo,RendaFamiliar,CorRaca,FaixaEtaria,Turno,CargaHorariaMinimaRegulamentada,InscritoVagas,FatordeEsforcodeCurso,Regiao
"Concluintes","M","1<RFP<=1.5","Preta","20 a 24 anos","Integral",3600,20.425,1.14,"Regiao Centro-Oeste"
"Concluintes","M","NA","Preta","25 a 29 anos","Integral",3600,3.075,1.15,"Regiao Sudeste"
"Concluintes","M","RFP>3.5","Preta","25 a 29 anos","Integral",3600,25.05,1.15,"Regiao Sudeste"
"Concluintes","F","0.5<RFP<=1","Preta","25 a 29 anos","Integral",3600,29.775,1.19,"Regiao Sudeste"
"Concluintes","F","NA","Preta","20 a 24 anos","Integral",3600,29.775,1.19,"Regiao Sudeste"
"Concluintes","F","0.5<RFP<=1","Preta","25 a 29 anos","Integral",3600,60.925,1.16,"Regiao Sudeste"
"Concluintes","M","NA","Preta","25 a 29 anos","Integral",3600,29.525,1.15,"Regiao Sudeste"
"Concluintes","M","1.5<RFP<=2.5","Preta","25 a 29 anos","Integral",3600,6.85,1.15,"Regiao Centro-Oeste"
"Concluintes","F","0.5<RFP<=1","Preta","25 a 29 anos","Integral",3600,69.125,1.15,"Regiao Norte"
"Concluintes","F","0<RFP<=0.5","Preta","20 a 24 anos","Integral",3600,30.5,1.15,"Regiao Norte"
"Concluintes","F","1.5<RFP<=2.5","Preta","25 a 29 anos","Integral",3600,11.125,1.15,"Regiao Sul"
"Concluintes","F","NA","Preta","20 a 24 anos","Integral",3600,27.725,1.15,"Regiao Sudeste"
"Concluintes","M","0.5<RFP<=1","Preta","25 a 29 anos","Integral",3600,42.475,1.16,"Regiao Sudeste"
"Concluintes","M","0.5<RFP<=1","Preta","25 a 29 anos","Integral",3600,33.55,1.15,"Regiao Norte"
"Concluintes","F","1.5<RFP<=2.5","Preta","25 a 29 anos","Integral",3600,33.55,1.15,"Regiao Norte"
"Concluintes","M","1.5<RFP<=2.5","Preta","20 a 24 anos","Integral",3600,18.3,1.16,"Regiao Sudeste"
"Concluintes","M","0.5<RFP<=1","Preta","25 a 29 anos","Integral",3600,2.925,1.19,"Regiao Sul"
"Concluintes","F","0.5<RFP<=1","Preta","25 a 29 anos","Integral",3600,20.7,1.16,"Regiao Sudeste"
"Concluintes","F","0<RFP<=0.5","Preta","25 a 29 anos","Integral",2400,0.75,1.1,"Regiao Sudeste"
"Concluintes","M","1.5<RFP<=2.5","Preta","25 a 29 anos","Integral",3600,20.425,1.14,"Regiao Centro-Oeste"
