Sexo,RendaFamiliar,CorRaca,Idade,FaixaEtaria,Semest,CategoriadeSituacao,Turno,CargaHorariaMinimaRegulamentada,FatordeEsforcodeCurso,Regiao
"F","1<RFP<=1,5","Preta",26,"25 a 29 anos",6,"Concluintes","Integral",2400,1.1,"Região Sudeste"
"F","2,5<RFP<=3,5","Preta",37,"35 a 39 anos",10,"Concluintes","Integral",3600,1.15,"Região Sudeste"
"M",NA,"Preta",27,"25 a 29 anos",9,"Concluintes","Integral",3600,1.16,"Região Sudeste"
"M","0<RFP<=0,5","Preta",24,"20 a 24 anos",7,"Concluintes","Integral",2400,1.15,"Região Sudeste"
"M","1<RFP<=1,5","Preta",36,"35 a 39 anos",10,"Concluintes","Integral",3600,1.15,"Região Sudeste"
"M","2,5<RFP<=3,5","Preta",37,"35 a 39 anos",8,"Concluintes","Integral",3600,1.15,"Região Norte"
"M","0<RFP<=0,5","Preta",23,"20 a 24 anos",9,"Concluintes","Integral",3000,1.21,"Região Sudeste"
"M","0,5<RFP<=1","Preta",27,"25 a 29 anos",9,"Concluintes","Integral",3600,1.15,"Região Sudeste"
"M",NA,"Preta",23,"20 a 24 anos",10,"Concluintes","Integral",3600,1.19,"Região Centro-Oeste"
"F",NA,"Preta",23,"20 a 24 anos",10,"Concluintes","Integral",3600,1.15,"Região Centro-Oeste"
"F","2,5<RFP<=3,5","Preta",33,"30 a 34 anos",10,"Concluintes","Integral",3200,1.2,"Região Sudeste"
"M","0,5<RFP<=1","Preta",22,"20 a 24 anos",10,"Concluintes","Integral",3600,1.15,"Região Centro-Oeste"
"M","0,5<RFP<=1","Preta",26,"25 a 29 anos",10,"Concluintes","Integral",3600,1.15,"Região Sudeste"
"F","0,5<RFP<=1","Preta",23,"20 a 24 anos",10,"Concluintes","Integral",3600,1.15,"Região Sudeste"
"M",NA,"Preta",23,"20 a 24 anos",10,"Concluintes","Integral",3600,1.16,"Região Sudeste"
"M","RFP>3,5","Preta",26,"25 a 29 anos",10,"Concluintes","Integral",3200,1.2,"Região Sudeste"
"F","2,5<RFP<=3,5","Preta",24,"20 a 24 anos",10,"Concluintes","Integral",3600,1.15,"Região Sudeste"
"F","0,5<RFP<=1","Preta",24,"20 a 24 anos",10,"Concluintes","Integral",3600,1.15,"Região Sudeste"
"F","RFP>3,5","Preta",24,"20 a 24 anos",10,"Concluintes","Integral",3600,1.2,"Região Sudeste"
"F","2,5<RFP<=3,5","Preta",24,"20 a 24 anos",10,"Concluintes","Integral",3600,1.2,"Região Sudeste"
"M",NA,"Preta",25,"25 a 29 anos",10,"Concluintes","Integral",3600,1.15,"Região Norte"
"M",NA,"Preta",25,"25 a 29 anos",10,"Concluintes","Integral",3200,1.2,"Região Sudeste"
"M","0,5<RFP<=1","Preta",24,"20 a 24 anos",10,"Concluintes","Integral",3000,1.21,"Região Sudeste"
"F",NA,"Preta",30,"30 a 34 anos",10,"Concluintes","Integral",3600,1.1,"Região Sudeste"
"F","2,5<RFP<=3,5","Preta",23,"20 a 24 anos",9,"Concluintes","Integral",3200,1,"Região Sudeste"
"M","0<RFP<=0,5","Preta",27,"25 a 29 anos",10,"Concluintes","Integral",3600,1.15,"Região Sudeste"
"M","RFP>3,5","Preta",31,"30 a 34 anos",10,"Concluintes","Integral",3200,1.15,"Região Sudeste"
"F","RFP>3,5","Preta",25,"25 a 29 anos",10,"Concluintes","Integral",3200,1,"Região Sudeste"
"F","1<RFP<=1,5","Preta",22,"20 a 24 anos",8,"Concluintes","Integral",3000,1.21,"Região Sudeste"
"M",NA,"Preta",23,"20 a 24 anos",10,"Concluintes","Integral",3600,1.15,"Região Sudeste"
"F","RFP>3,5","Preta",26,"25 a 29 anos",10,"Concluintes","Integral",3200,1.2,"Região Sudeste"
"F","2,5<RFP<=3,5","Preta",26,"25 a 29 anos",10,"Concluintes","Integral",3600,1.19,"Região Sudeste"
"M","2,5<RFP<=3,5","Preta",22,"20 a 24 anos",9,"Concluintes","Integral",3600,1.15,"Região Norte"
"M","2,5<RFP<=3,5","Preta",22,"20 a 24 anos",9,"Concluintes","Integral",3200,1,"Região Sudeste"
"M",NA,"Preta",24,"20 a 24 anos",10,"Concluintes","Integral",3600,1.19,"Região Sudeste"
"M","0,5<RFP<=1","Preta",22,"20 a 24 anos",8,"Concluintes","Integral",3000,1.21,"Região Sudeste"
"M","0<RFP<=0,5","Preta",24,"20 a 24 anos",9,"Concluintes","Integral",3000,1.21,"Região Sudeste"
"F","0,5<RFP<=1","Preta",27,"25 a 29 anos",10,"Concluintes","Integral",3600,1.16,"Região Sudeste"
"M","1,5<RFP<=2,5","Preta",29,"25 a 29 anos",9,"Concluintes","Integral",3600,1.1,"Região Sudeste"
"M",NA,"Preta",26,"25 a 29 anos",10,"Concluintes","Integral",3600,1.19,"Região Sudeste"
"F",NA,"Preta",35,"35 a 39 anos",10,"Concluintes","Integral",3200,1,"Região Sudeste"
"M","1<RFP<=1,5","Preta",27,"25 a 29 anos",10,"Concluintes","Integral",3600,1.19,"Região Sudeste"
"M",NA,"Preta",27,"25 a 29 anos",10,"Concluintes","Integral",3600,1.15,"Região Sudeste"
"F",NA,"Preta",23,"20 a 24 anos",10,"Concluintes","Integral",3600,1.2,"Região Sudeste"
"F","0<RFP<=0,5","Preta",24,"20 a 24 anos",10,"Concluintes","Integral",3600,1.2,"Região Sudeste"
"F","0<RFP<=0,5","Preta",23,"20 a 24 anos",10,"Concluintes","Integral",3600,1.15,"Região Sudeste"
"M","0,5<RFP<=1","Preta",23,"20 a 24 anos",10,"Concluintes","Integral",3600,1.15,"Região Norte"
"F","1<RFP<=1,5","Preta",25,"25 a 29 anos",10,"Concluintes","Integral",3600,1.15,"Região Sudeste"
"M","1,5<RFP<=2,5","Preta",29,"25 a 29 anos",10,"Concluintes","Integral",3600,1.1,"Região Sudeste"
"F",NA,"Preta",28,"25 a 29 anos",4,"Concluintes","Integral",2400,1.13,"Região Sudeste"
"M","0<RFP<=0,5","Preta",24,"20 a 24 anos",8,"Concluintes","Integral",3000,1.21,"Região Sudeste"
"M","0,5<RFP<=1","Preta",22,"20 a 24 anos",8,"Concluintes","Integral",3000,1.21,"Região Sudeste"
"M","0<RFP<=0,5","Preta",23,"20 a 24 anos",8,"Concluintes","Integral",3000,1.21,"Região Sudeste"
"F","0,5<RFP<=1","Preta",25,"25 a 29 anos",2,"Concluintes","Integral",2400,1.1,"Região Sudeste"
"F","1<RFP<=1,5","Preta",25,"25 a 29 anos",2,"Concluintes","Integral",2400,1.1,"Região Sudeste"
"F","1,5<RFP<=2,5","Preta",26,"25 a 29 anos",10,"Concluintes","Integral",3000,1,"Região Sudeste"
"F","1,5<RFP<=2,5","Preta",22,"20 a 24 anos",10,"Concluintes","Integral",3600,1.14,"Região Centro-Oeste"
"M","1<RFP<=1,5","Preta",24,"20 a 24 anos",10,"Concluintes","Integral",3600,1.14,"Região Centro-Oeste"
"M",NA,"Preta",26,"25 a 29 anos",10,"Concluintes","Integral",3600,1.15,"Região Sudeste"
"M","RFP>3,5","Preta",27,"25 a 29 anos",10,"Concluintes","Integral",3600,1.15,"Região Sudeste"
"F","0,5<RFP<=1","Preta",26,"25 a 29 anos",10,"Concluintes","Integral",3600,1.19,"Região Sudeste"
"F",NA,"Preta",24,"20 a 24 anos",10,"Concluintes","Integral",3600,1.19,"Região Sudeste"
"F","0,5<RFP<=1","Preta",28,"25 a 29 anos",10,"Concluintes","Integral",3600,1.16,"Região Sudeste"
"M",NA,"Preta",25,"25 a 29 anos",10,"Concluintes","Integral",3600,1.15,"Região Sudeste"
"M","1,5<RFP<=2,5","Preta",25,"25 a 29 anos",10,"Concluintes","Integral",3600,1.15,"Região Centro-Oeste"
"F","0,5<RFP<=1","Preta",26,"25 a 29 anos",10,"Concluintes","Integral",3600,1.15,"Região Norte"
"F","0<RFP<=0,5","Preta",22,"20 a 24 anos",10,"Concluintes","Integral",3600,1.15,"Região Norte"
"F","1,5<RFP<=2,5","Preta",27,"25 a 29 anos",10,"Concluintes","Integral",3600,1.15,"Região Sul"
"F",NA,"Preta",24,"20 a 24 anos",10,"Concluintes","Integral",3600,1.15,"Região Sudeste"
"M","1<RFP<=1,5","Preta",24,"20 a 24 anos",10,"Concluintes","Integral",3600,1.1,"Região Sudeste"
"M","0,5<RFP<=1","Preta",27,"25 a 29 anos",10,"Concluintes","Integral",3600,1.16,"Região Sudeste"
"M","0,5<RFP<=1","Preta",28,"25 a 29 anos",10,"Concluintes","Integral",3600,1.15,"Região Norte"
"F","1,5<RFP<=2,5","Preta",25,"25 a 29 anos",10,"Concluintes","Integral",3600,1.15,"Região Norte"
"M","1,5<RFP<=2,5","Preta",24,"20 a 24 anos",10,"Concluintes","Integral",3600,1.16,"Região Sudeste"
"M","0,5<RFP<=1","Preta",25,"25 a 29 anos",3,"Concluintes","Integral",3600,1.19,"Região Sul"
"F","0,5<RFP<=1","Preta",29,"25 a 29 anos",10,"Concluintes","Integral",3600,1.16,"Região Sudeste"
"F","0<RFP<=0,5","Preta",25,"25 a 29 anos",3,"Concluintes","Integral",2400,1.1,"Região Sudeste"
"M","1,5<RFP<=2,5","Preta",25,"25 a 29 anos",10,"Concluintes","Integral",3600,1.14,"Região Centro-Oeste"
"M","0<RFP<=0,5","Preta",28,"25 a 29 anos",3,"Concluintes","Integral",3600,1.1,"Região Sul"
"F",NA,"Preta",42,"40 a 44 anos",10,"Concluintes","Integral",3600,1.16,"Região Sudeste"
"M","1,5<RFP<=2,5","Preta",24,"20 a 24 anos",10,"Concluintes","Integral",3600,1.14,"Região Centro-Oeste"
"M","0<RFP<=0,5","Preta",21,"20 a 24 anos",4,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"M","1<RFP<=1,5","Preta",23,"20 a 24 anos",4,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","RFP>3,5","Preta",22,"20 a 24 anos",6,"Evadidos","Integral",3600,1.16,"Região Sudeste"
